Day,Date,Open,High,Low,Close,Volume,Market Cap
144,27-Jul-23,"$29,353.80 ","$29,560.97 ","$29,099.35 ","$29,210.69 ","$10,770,779,217 ","$567,881,358,905 "
145,28-Jul-23,"$29,212.16 ","$29,521.51 ","$29,125.85 ","$29,319.25 ","$11,218,474,952 ","$570,017,791,145 "
146,29-Jul-23,"$29,319.45 ","$29,396.84 ","$29,264.17 ","$29,356.92 ","$6,481,775,959 ","$570,774,442,719 "
147,30-Jul-23,"$29,357.09 ","$29,443.17 ","$29,059.50 ","$29,275.31 ","$8,678,454,527 ","$569,216,997,017 "
148,31-Jul-23,"$29,278.31 ","$29,489.87 ","$29,131.58 ","$29,230.11 ","$11,656,781,982 ","$568,365,621,733 "
149,1-Aug-23,"$29,230.87 ","$29,675.73 ","$28,657.02 ","$29,675.73 ","$18,272,392,391 ","$577,056,102,933 "
150,2-Aug-23,"$29,704.15 ","$29,988.00 ","$28,946.51 ","$29,151.96 ","$19,212,655,598 ","$566,898,832,325 "
151,3-Aug-23,"$29,161.81 ","$29,375.71 ","$28,959.49 ","$29,178.68 ","$12,780,357,746 ","$567,446,140,509 "
152,4-Aug-23,"$29,174.38 ","$29,302.08 ","$28,885.34 ","$29,074.09 ","$12,036,639,988 ","$565,434,912,960 "
153,5-Aug-23,"$29,075.39 ","$29,102.47 ","$28,957.80 ","$29,042.13 ","$6,598,366,353 ","$564,840,485,746 "
154,6-Aug-23,"$29,043.70 ","$29,160.82 ","$28,963.83 ","$29,041.86 ","$7,269,806,994 ","$564,864,625,278 "
155,7-Aug-23,"$29,038.51 ","$29,244.28 ","$28,724.14 ","$29,180.58 ","$13,618,163,710 ","$567,589,047,795 "
156,8-Aug-23,"$29,180.02 ","$30,176.80 ","$29,113.81 ","$29,765.49 ","$17,570,561,357 ","$578,990,356,569 "
157,9-Aug-23,"$29,766.70 ","$30,093.44 ","$29,376.80 ","$29,561.49 ","$18,379,521,213 ","$575,052,155,347 "
158,10-Aug-23,"$29,563.97 ","$29,688.56 ","$29,354.45 ","$29,429.59 ","$11,865,344,789 ","$572,509,489,794 "
159,11-Aug-23,"$29,424.90 ","$29,517.77 ","$29,253.52 ","$29,397.72 ","$10,195,168,197 ","$571,917,121,194 "
160,12-Aug-23,"$29,399.79 ","$29,465.11 ","$29,357.59 ","$29,415.96 ","$6,194,358,008 ","$572,302,297,645 "
161,13-Aug-23,"$29,416.59 ","$29,441.43 ","$29,265.81 ","$29,282.91 ","$7,329,897,180 ","$569,738,074,810 "
162,14-Aug-23,"$29,283.26 ","$29,660.25 ","$29,124.11 ","$29,408.44 ","$14,013,695,304 ","$572,212,182,982 "
163,15-Aug-23,"$29,408.05 ","$29,439.12 ","$29,088.85 ","$29,170.35 ","$12,640,195,779 ","$567,610,646,871 "
164,16-Aug-23,"$29,169.07 ","$29,221.98 ","$28,701.78 ","$28,701.78 ","$14,949,271,904 ","$558,522,450,868 "
165,17-Aug-23,"$28,699.80 ","$28,745.95 ","$25,409.11 ","$26,664.55 ","$31,120,851,211 ","$518,904,301,901 "
166,18-Aug-23,"$26,636.08 ","$26,808.20 ","$25,668.92 ","$26,049.56 ","$24,026,236,529 ","$506,957,746,774 "
167,19-Aug-23,"$26,047.83 ","$26,249.45 ","$25,802.41 ","$26,096.20 ","$10,631,443,812 ","$507,889,708,784 "
168,20-Aug-23,"$26,096.86 ","$26,260.68 ","$26,004.32 ","$26,189.58 ","$9,036,580,420 ","$509,733,936,200 "
169,21-Aug-23,"$26,188.69 ","$26,220.20 ","$25,846.09 ","$26,124.14 ","$13,371,557,893 ","$508,487,129,876 "
170,22-Aug-23,"$26,130.75 ","$26,135.51 ","$25,520.73 ","$26,031.66 ","$14,503,820,706 ","$506,709,265,108 "
171,23-Aug-23,"$26,040.47 ","$26,786.90 ","$25,805.00 ","$26,431.64 ","$16,985,265,785 ","$514,519,784,075 "
172,24-Aug-23,"$26,431.52 ","$26,554.91 ","$25,914.93 ","$26,162.37 ","$12,871,532,023 ","$509,301,597,241 "
173,25-Aug-23,"$26,163.68 ","$26,248.10 ","$25,786.81 ","$26,047.67 ","$12,406,045,118 ","$507,090,156,467 "
174,26-Aug-23,"$26,047.24 ","$26,107.38 ","$25,983.88 ","$26,008.46 ","$6,034,817,316 ","$506,348,824,288 "
175,27-Aug-23,"$26,008.24 ","$26,165.37 ","$25,965.10 ","$26,089.69 ","$6,913,768,611 ","$507,949,530,131 "
176,28-Aug-23,"$26,089.61 ","$26,198.58 ","$25,880.60 ","$26,106.15 ","$11,002,805,166 ","$508,288,516,574 "
177,29-Aug-23,"$26,102.49 ","$28,089.34 ","$25,912.63 ","$27,727.39 ","$29,368,391,712 ","$539,882,481,562 "
178,30-Aug-23,"$27,726.08 ","$27,760.16 ","$27,069.21 ","$27,297.27 ","$16,343,655,235 ","$531,528,938,704 "
179,31-Aug-23,"$27,301.93 ","$27,456.08 ","$25,752.93 ","$25,931.47 ","$20,181,001,451 ","$504,957,555,551 "
180,1-Sep-23,"$25,934.02 ","$26,125.87 ","$25,362.61 ","$25,800.72 ","$17,202,862,221 ","$502,435,875,824 "
181,2-Sep-23,"$25,800.91 ","$25,970.28 ","$25,753.09 ","$25,868.80 ","$10,100,387,473 ","$503,786,436,421 "
182,3-Sep-23,"$25,869.47 ","$26,087.15 ","$25,817.03 ","$25,969.57 ","$8,962,524,523 ","$505,774,022,624 "
183,4-Sep-23,"$25,968.17 ","$26,081.52 ","$25,657.03 ","$25,812.42 ","$10,680,635,106 ","$502,737,261,225 "
184,5-Sep-23,"$25,814.96 ","$25,858.37 ","$25,589.99 ","$25,779.98 ","$11,094,740,040 ","$502,126,527,594 "
185,6-Sep-23,"$25,783.93 ","$25,953.02 ","$25,404.36 ","$25,753.24 ","$12,752,705,327 ","$501,626,995,525 "
186,7-Sep-23,"$25,748.31 ","$26,409.30 ","$25,608.20 ","$26,240.19 ","$11,088,307,100 ","$511,135,039,201 "
187,8-Sep-23,"$26,245.21 ","$26,414.01 ","$25,677.48 ","$25,905.65 ","$10,817,356,400 ","$504,640,503,023 "
188,9-Sep-23,"$25,905.42 ","$25,921.98 ","$25,810.50 ","$25,895.68 ","$5,481,314,132 ","$504,470,470,463 "
189,10-Sep-23,"$25,895.21 ","$25,978.13 ","$25,640.26 ","$25,832.23 ","$7,899,553,047 ","$503,258,420,290 "
190,11-Sep-23,"$25,831.72 ","$25,883.95 ","$24,930.30 ","$25,162.66 ","$14,600,006,467 ","$490,238,023,957 "
191,12-Sep-23,"$25,160.66 ","$26,451.94 ","$25,133.08 ","$25,833.34 ","$18,657,279,324 ","$503,327,969,521 "
192,13-Sep-23,"$25,837.55 ","$26,376.11 ","$25,781.12 ","$26,228.32 ","$13,072,077,070 ","$511,047,406,839 "
193,14-Sep-23,"$26,228.28 ","$26,774.62 ","$26,171.45 ","$26,539.67 ","$13,811,359,124 ","$517,140,816,824 "
194,15-Sep-23,"$26,533.82 ","$26,840.50 ","$26,240.70 ","$26,608.69 ","$11,479,735,788 ","$518,517,274,733 "
195,16-Sep-23,"$26,606.20 ","$26,754.77 ","$26,473.89 ","$26,568.28 ","$7,402,031,417 ","$517,755,173,479 "
196,17-Sep-23,"$26,567.93 ","$26,618.00 ","$26,445.08 ","$26,534.19 ","$6,774,210,670 ","$517,116,820,260 "
197,18-Sep-23,"$26,532.99 ","$27,414.73 ","$26,415.52 ","$26,754.28 ","$15,615,339,655 ","$521,431,894,478 "
198,19-Sep-23,"$26,760.85 ","$27,488.76 ","$26,681.61 ","$27,211.12 ","$13,807,690,550 ","$530,358,455,132 "
199,20-Sep-23,"$27,210.23 ","$27,379.51 ","$26,864.08 ","$27,132.01 ","$13,281,116,604 ","$528,841,974,546 "
200,21-Sep-23,"$27,129.84 ","$27,152.94 ","$26,389.30 ","$26,567.63 ","$13,371,443,708 ","$517,864,270,863 "
